Physical Record ID,BL record ID,ARK
003706097,014867798,ark:/81055/vdc_00000000FF48
003339362,014867628,ark:/81055/vdc_00000000FE22
004011538,014940084,ark:/81055/vdc_000000020EE0
004011437,014848309,ark:/81055/vdc_0000000080F4
004011272,014912758,ark:/81055/vdc_00000001F626
004010998,014873193,ark:/81055/vdc_000000011F04
004011000,015743154,ark:/81055/vdc_00000001DDEA
004010263,015178558,ark:/81055/vdc_000000025EE4
004009724,014940083,ark:/81055/vdc_000000020DA8
004009673,014867962,ark:/81055/vdc_000000010BC0
002137010,014939682,ark:/81055/vdc_000000021AD4
004009568,014861166,ark:/81055/vdc_00000000B196
004008924,014867960,ark:/81055/vdc_00000000E3E8
004008925,014867961,ark:/81055/vdc_00000000E4D8
004008928,014905544,ark:/81055/vdc_00000001E6C6
004008145,014873192,ark:/81055/vdc_000000013CA4
004007940,014848308,ark:/81055/vdc_0000000091EC
004007597,014919491,ark:/81055/vdc_00000002062E
004007568,014867959,ark:/81055/vdc_00000000F882
004007211,014841672,ark:/81055/vdc_000000003F8A
004006971,015106346,ark:/81055/vdc_0000000226F8
004006740,015106345,ark:/81055/vdc_000000022A52
004006730,014940080,ark:/81055/vdc_000000020BBC
004006737,014940081,ark:/81055/vdc_000000020CA0
004006739,014873191,ark:/81055/vdc_000000011F34
004006742,014940082,ark:/81055/vdc_000000020B02
004006719,014841671,ark:/81055/vdc_000000005520
004006689,014867958,ark:/81055/vdc_00000000FBB8
004006577,014610236,ark:/81055/vdc_00000002D7A4
004006579,015106344,ark:/81055/vdc_00000002320E
002669815,014826464,ark:/81055/vdc_000000034DBE
001968409,014815097,ark:/81055/vdc_000000040E42
000585701,014616603,ark:/81055/vdc_000000031D76
004006466,014919490,ark:/81055/vdc_000000020988
004006468,014832746,ark:/81055/vdc_00000005363A
004006404,014897244,ark:/81055/vdc_00000001BB7C
004006300,014912757,ark:/81055/vdc_00000001F4CA
004005883,014841670,ark:/81055/vdc_0000000061CE
004003874,014867957,ark:/81055/vdc_00000000F2A6
004003786,014919489,ark:/81055/vdc_0000000209DC
004003787,014940079,ark:/81055/vdc_000000020ACC
004003793,015111279,ark:/81055/vdc_000000023CE2
004003795,014891848,ark:/81055/vdc_000000019B54
004003750,014867956,ark:/81055/vdc_00000000E53E
004116063,014824973,ark:/81055/vdc_00000003BEBC
000992043,014891166,ark:/81055/vdc_000000019FA4
003405256,014829663,ark:/81055/vdc_000000040590
003933809,014832193,ark:/81055/vdc_0000000305BE
003700203,014880401,ark:/81055/vdc_000000015774
003316982,014824000,ark:/81055/vdc_00000002BF50
004003178,014832741,ark:/81055/vdc_00000005AEAC
004003152,014832740,ark:/81055/vdc_0000000004C8
004003145,014832739,ark:/81055/vdc_00000005C4F0
004003187,014841669,ark:/81055/vdc_000000005274
004003018,014832738,ark:/81055/vdc_0000000542B8
004003012,014848307,ark:/81055/vdc_00000000803A
004002984,014824964,ark:/81055/vdc_000000032040
003317593,014829129,ark:/81055/vdc_00000002C016
004002761,014832736,ark:/81055/vdc_00000002F2F2
